aav	aust1305
afa	afro1255
alg	algo1256
alv	atla1278
apa	apac1239
aqa	kawe1237
aql	algi1248
art	
ath	atha1247
auf	araw1282
aus	
awd	araw1281
azc	utoa1244
bad	band1341
bai	bami1239
bat	east2280 prus1238
ber	berb1260
bih	biha1245
bnt	narr1281
btk	toba1265
cai	
cau	
cba	chib1249
ccn	
ccs	kart1248
cdc	chad1250
cdd	cadd1255
cel	celt1248
cmc	cham1327
crp	
csu	cent2225
cus	cush1243
day	
dmn	mand1469
dra	drav1251
egx	egyp1246
esx	eski1264
fiu	
fox	
gem	germ1287
gme	east2805
gmq	nort3160
gmw	west2793
grk	gree1276 grae1234
hmx	hmon1336
hok	
iir	indo1320
ijo	ijoo1239
inc	indo1321 indo1321
ine	indo1319
ira	iran1269
iro	iroq1247
itc	ital1284
kar	kare1337
kdo	
khi	
kro	krua1234 siam1242
map	aust1307
mkh	aust1305
mno	mano1276
mun	mund1335
myn	maya1287
nah	azte1234
nai	
ngf	nucl1709
nic	
nub	nubi1251 hara1258
omq	otom1299
omv	
oto	otop1242
paa	
phi	
plf	cent2245
poz	mala1545
pqe	cent2237
pqw	
pra	midd1350
roa	roma1334
sai	
sal	sali1255
sdv	
sem	semi1276
sgn	
sio	siou1252
sit	sino1245
sla	slav1255
smi	saam1281
son	song1307
sqj	
ssa	
syd	samo1298
tai	daic1237
tbq	
trk	turk1311
tup	tupi1287
tut	
tuw	tung1282
urj	ural1272
wak	waka1280
wen	sorb1249
xgn	mong1329
xnd	atha1245
ypk	yupi1267
zle	east1426
zls	sout3147
zlw	west2792
znd	zand1246
